iter	MultiClassOneVsAll
1047	0.545562069
1048	0.5455407195
1049	0.5455405652
1050	0.5455381222
1051	0.5455342696
1052	0.545503963
1053	0.5454476742
1054	0.5454476742
1055	0.5454434315
1056	0.5454170077
1057	0.5454074205
1058	0.5454073698
1059	0.5453875008
1060	0.5453875003
1061	0.5453693316
1062	0.5453378309
1063	0.5453285614
1064	0.54531919
1065	0.5453191899
1066	0.5453039147
1067	0.5452890283
1068	0.5452196525
1069	0.545200252
1070	0.5451882704
1071	0.5451824682
1072	0.545107974
1073	0.5451078681
1074	0.5450879697
1075	0.5450720872
1076	0.5450720867
1077	0.5450651236
1078	0.5450100509
1079	0.5449996974
1080	0.5449920429
1081	0.5449581483
1082	0.5449511297
1083	0.5449077736
1084	0.5449077314
1085	0.5448802056
1086	0.5448407384
1087	0.5447752418
1088	0.5447478516
1089	0.5446928299
1090	0.5446528619
1091	0.5445903192
1092	0.5445650166
1093	0.5445527188
1094	0.5445527181
1095	0.5445407947
1096	0.5445407863
1097	0.5445338817
1098	0.544513115
1099	0.544498999
1100	0.5444726374
1101	0.5444686264
1102	0.5444406087
1103	0.5444405582
1104	0.5444405581
1105	0.5444401283
1106	0.5444109179
1107	0.5443886415
1108	0.5443482524
1109	0.544307432
1110	0.5442606777
1111	0.544231585
1112	0.5441936046
1113	0.5441928227
1114	0.5441928216
1115	0.5441732776
1116	0.544158791
1117	0.5441503879
1118	0.5441448332
1119	0.5441124468
1120	0.544091701
1121	0.5440917005
1122	0.5440852627
1123	0.5440852622
1124	0.544036664
1125	0.5439985408
1126	0.5439870669
1127	0.5439870632
1128	0.5439812179
1129	0.5439764898
1130	0.5439756333
1131	0.5439671417
1132	0.5439652548
1133	0.5439334235
1134	0.5439327995
1135	0.5439315152
1136	0.5439303478
1137	0.5439303347
1138	0.5439226912
1139	0.5439064453
1140	0.5438773982
1141	0.5438514373
1142	0.54382228
1143	0.5438079376
1144	0.5437587622
1145	0.5437519287
1146	0.5437519285
1147	0.5437220859
1148	0.5437220739
1149	0.5437220737
1150	0.5437220736
1151	0.5437149918
1152	0.5436960021
1153	0.5436958712
1154	0.5436769919
1155	0.5436206194
1156	0.5435926132
1157	0.5435798024
1158	0.5435579313
1159	0.5435263636
1160	0.5435261352
1161	0.5435261352
1162	0.5435217947
1163	0.5435211399
1164	0.5435192719
1165	0.5435124557
1166	0.5435124332
1167	0.5435015105
1168	0.5435010729
1169	0.5435010726
1170	0.5434960102
1171	0.5434680146
1172	0.5434673588
1173	0.5434274664
1174	0.54340649
1175	0.5433611053
1176	0.5433234868
1177	0.5433031577
1178	0.5432926869
1179	0.5432920959
1180	0.543280008
1181	0.5432556976
1182	0.5432556976
1183	0.5432289785
1184	0.5432289785
1185	0.5432270442
1186	0.5431797517
1187	0.5431455529
1188	0.5431391303
1189	0.5431110774
1190	0.5430918397
1191	0.5430918394
1192	0.5430734342
1193	0.5430734336
1194	0.5430543613
1195	0.5430543262
1196	0.5430543262
1197	0.5430392824
1198	0.5430392824
1199	0.5429810938
1200	0.5429388071
1201	0.5429388069
1202	0.5429388005
1203	0.5429033541
1204	0.5428729803
1205	0.5428437761
1206	0.5428429676
1207	0.5428233047
1208	0.5428027638
1209	0.5427742178
1210	0.5427599987
1211	0.5427490845
1212	0.5427323176
1213	0.5427048511
1214	0.5426930663
1215	0.5426514127
1216	0.5426205799
1217	0.5425870601
1218	0.5425563486
1219	0.5424586289
1220	0.542458618
1221	0.5424405022
1222	0.5424298919
1223	0.5424194306
1224	0.5424148583
1225	0.5423976573
1226	0.5423711397
1227	0.542370059
1228	0.5423686949
1229	0.5423473646
1230	0.5423222603
1231	0.5422980514
1232	0.5422976681
1233	0.5422563061
1234	0.5422441557
1235	0.5422288556
1236	0.5422074347
1237	0.5422045061
1238	0.5421535956
1239	0.5421356212
1240	0.5421211174
1241	0.5420661648
1242	0.5420613055
1243	0.5420038425
1244	0.5419993516
1245	0.5419532296
1246	0.5419464745
1247	0.5419464744
1248	0.5419464744
1249	0.5419283224
1250	0.5419283201
1251	0.5419170861
1252	0.5419166821
1253	0.5418472654
1254	0.541840218
1255	0.5418402179
1256	0.5417971243
1257	0.5417802852
1258	0.5417799985
1259	0.5417528218
1260	0.5417308976
1261	0.5416997842
1262	0.5416796656
1263	0.5416532819
1264	0.5416234276
1265	0.541601317
1266	0.5415745599
1267	0.5415724321
1268	0.5415722349
1269	0.5415687005
1270	0.5415578934
1271	0.5415570639
1272	0.5415241914
1273	0.5415225907
1274	0.5414796313
1275	0.5414633038
1276	0.5414383184
1277	0.5414254614
1278	0.5414122242
1279	0.5414107737
1280	0.5413955668
1281	0.5413871569
1282	0.5413601949
1283	0.5413369453
1284	0.5413029249
1285	0.541262166
1286	0.5412455726
1287	0.5412330453
1288	0.541233045
1289	0.5412323699
1290	0.5412323697
1291	0.5412316676
1292	0.5411942343
1293	0.5411889997
1294	0.5411889986
1295	0.5411674156
1296	0.5411620582
1297	0.541162056
1298	0.541158395
1299	0.5411583937
1300	0.5411446073
1301	0.5411428024
1302	0.5411227817
1303	0.5410929289
1304	0.541086938
1305	0.5410492673
1306	0.5410351083
1307	0.5410170807
1308	0.5410170807
1309	0.5409969372
1310	0.5409884322
1311	0.5409769656
1312	0.5409636539
1313	0.5409627706
1314	0.5409541113
1315	0.5409412425
1316	0.5409412325
1317	0.5408681809
1318	0.5408587711
1319	0.5408587705
1320	0.5408288113
1321	0.5408057703
1322	0.540804929
1323	0.540804753
1324	0.5407755648
1325	0.5407753013
1326	0.5407753012
1327	0.5407020166
1328	0.5406515937
1329	0.5406337193
1330	0.5406312111
1331	0.5406251617
1332	0.5406001738
1333	0.5405768706
1334	0.540569121
1335	0.5405691206
1336	0.5405241344
1337	0.540500166
1338	0.5404575122
1339	0.5404575122
1340	0.5404437237
1341	0.5404291232
1342	0.5404291232
1343	0.540427877
1344	0.5403763029
1345	0.5403728043
1346	0.5403728019
1347	0.5403728001
1348	0.5403434248
1349	0.5403161775
1350	0.5402950022
1351	0.540294766
1352	0.5402642153
1353	0.5402536163
1354	0.5402402444
1355	0.5402364978
1356	0.540219655
1357	0.5402152539
1358	0.5402115871
1359	0.5402115871
1360	0.5402096626
1361	0.5401720426
1362	0.5401422574
1363	0.5401422448
1364	0.5401422448
1365	0.5401329705
1366	0.5401248185
1367	0.540116799
1368	0.540116112
1369	0.5400984375
1370	0.540033801
1371	0.5400055823
1372	0.5399887886
1373	0.5399503602
1374	0.5399358472
1375	0.5399349105
1376	0.5399179858
1377	0.5399112391
1378	0.5399072214
1379	0.5399072214
1380	0.5398583153
1381	0.5398382684
1382	0.5398279509
1383	0.5398038759
1384	0.5397844333
1385	0.5397283119
1386	0.5397280012
1387	0.5397196742
1388	0.5396493538
1389	0.5396399953
1390	0.539597234
1391	0.5395955736
1392	0.5395838174
1393	0.539567667
1394	0.5395658867
1395	0.539553443
1396	0.5395390709
1397	0.539525737
1398	0.5395154974
1399	0.5395039195
